# NFLMDD 2025 Final Accuracy Scores
# Source: nflmockdraftdatabase.com/mock-drafts/2025/final-scores
# IMPORTANT: NFLMDD scores individual mock draft SUBMISSIONS, not analysts.
# The same analyst can appear multiple times (different mock drafts submitted).
# Total: 1530 mock drafts scored. Paginated 27/page.
# For X Score: group by analyst, take best score.
# Scoring: team=10pts, position=10pts, player=10pts, team+pos+player combo=100pt bonus
# Scores displayed as % out of 100%.

# TOP 108 ENTRIES (pages 1-4):
Rank	Analyst	Outlet	Score%
51	Jeff Ratcliffe	FTN Fantasy	27.64%
52	Matt Brandon	SI	27.64%
53	Ryan Noonan	4 For 4	27.4%
54	Jonathan Cook	The Huddle Report	27.4%
55	Owain Jones	College Football Network	27.4%
56	Matt Donnelly	Rotoballer	27.4%
57	Andrew Harbaugh	Vikings Wire	27.4%
58	Walter Cherepinsky	Walter Football	27.4%
59	Sean Balzer	NFL Draft Lounge	27.16%
60	Rob Staton	Seahawks Draft Blog	27.16%
61	Scott Smith	4 For 4	26.92%
62	Ryan Wilson	CBS	26.92%
63	Ryan Wilson	CBS	26.92%
64	Eric Froton	NBC Sports	26.92%
65	Cody Carpentier	Player Profiler	26.92%
66	Staff	Takeaways	26.92%
67	Jacob Camenker	USA Today	26.92%
68	Cameron Sheath	Pro Football Network	26.68%
69	Kyle Stackpole	CBS	26.2%
70	Michael Renner	CBS	26.2%
71	Mason Cameron	Pro Football Focus	26.2%
72	Bryan DeArdo	CBS	25.96%
73	John Kosko	Pro Football Focus	25.96%
74	Michael Renner	CBS	25.72%
75	Matt Youmans	VSIN	25.72%
76	Connor Rogers	NBC Sports	25.48%
77	Sean Newcomb	The Daily Targum	25.48%
78	David Dorey	The Huddle	25.48%
79	Michael Middlehurst-Schwartz	USA Today	25.48%
80	Michaela Althouse	The Collegian	25.24%
81	Lou Pickney	Mock Draft NFL	25.24%
82	Brad Biggs	Chicago Tribune	25.24%
83	John Daigle	Establish The Run	25.24%
84	Pat Fitzmaurice	Fantasy Pros	25.24%
85	Kory Woods	M Live	25.24%
86	Kyle Dvorchak	NBC Sports	25.24%
87	Sayre Bedinger	NFL Spin Zone	25.24%
88	Johnny McGonigal	Penn Live	25.24%
89	Matt Stopsky	Sumer Sports	25.24%
90	Staff	Takeaways	25.24%
92	Dan Kadar	Akron Beacon Journal	25.0%
93	Evan Wanish	Bucs Nation	25.0%
94	Owain Jones	College Football Network	25.0%
95	Cory Kinnan	Daft on Draft	25.0%
96	Ayrton Ostly	Milwaukee Journal Sentinel	25.0%
97	Cory Bonini	The Huddle	25.0%
98	Tyler Dragon	USA Today	25.0%
99	Kyle Crabbs	33rd Team	24.76%
100	Peter Schrager	ESPN	24.76%
101	Phil Perry	NBC Sports Boston	24.76%
102	Nate Bouda	NFL Trade Rumors	24.76%
103	A.J. Cola	Raiders Wire	24.76%
104	Eddie Brown	San Diego Union Tribune	24.76%
105	Richie Bradshaw	SI	24.76%
106	Cory Bonini	The Huddle	24.76%
107	Hayden Winks	Underdog	24.76%
108	(page cut off)

# METHODOLOGY NOTE FOR X SCORE:
# NFLMDD scores differ significantly from THR/FP because:
# - Rewards exact team-position-player combos (100pt bonus)
# - Scores every submission, not just analysts' best/final mock
# - Unknown analysts can rank highly from a single lucky mock
# - For X Score: best score per analyst, min 1 submission
# - Consider lower weight in composite vs THR (which has stricter eligibility)
